complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid
22-0078,2022-03-01 05:00:00+00,1800,LACK OF SERVICE,"According to the complainant, on 2-22-22 at 10:20 AM, while in the confines of the 18th District, they went to the district to get a restraining order served. The complainant provided the officer at the window with the address of the person the restraining order was against and the officer told them that they had the wrong district. The officer told them that they needed to go to the district where the restraining order was to be served. The complainant was confused because their documentation said that they had to go to the district where they lived to get it served. The complainant states that when they asked the officer to explain the procedure, they refused to answer them and said that it was not their issue. When the complainant continued to question the officer, they said that they did not have time for this and turned off their body worn camera. The complainant states that they left the district due to feeling uncomfortable with the situation.",2022-02-22,10:20 AM,6564
22-0246,2022-06-07 04:00:00+00,2500,HARASSMENT,"According to the complainant, for the past 8 months, while in the confines of the 25th District, they have been harassed by an officer. The complainant states that they argued with the officer. The complainant states that the officer accused them of slapping them. The complainant states that this is a lie and that there are cameras there to prove it.",,,6732
22-0079,2022-03-01 05:00:00+00,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, while in the confines of the 9th District, a family member passed away and a detective was assigned to the incident. The complainant states the detective released information to a non-family member, someone who claimed to be their spouse. The complainant states that they called two weeks after their family member¿s death with information that was found on the deceased family members phone, asking that the case be further investigated. The complainant states they were blown off and told that there was nothing else to be done. The complainant also states that the they feel that the detective lacked compassion when dealing with their family.",,,6565
22-0080,2022-03-01 05:00:00+00,1700,LACK OF SERVICE,"According to the complainant, on 2-20-22 at 3:00 AM, while in the confines of the 17th District, they called 911 in reference to illegal parking, racing cars, and loud music coming from a banquet hall. The complainant states that there were several calls to 911 made by them but police never responded.",2022-02-20,03:00 AM,6566
22-0081,2022-03-03 05:00:00+00,2600,LACK OF SERVICE,"According to the complainant, on 2-25-22 at 9:30 PM, while in the confines of the 26th District, they called 911 because their neighbors refused to turn down their loud music. The complainant states that they were told that officers would be sent out but the loud music continued for hours.",2022-02-25,09:30 PM,6567
22-0082,2022-03-03 05:00:00+00,1400,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-21-22 at 8:00 PM, while in the confines of the 14th District, they arrived at the district to report being the victim of a possible crime. The complainant states that when their family member tried to explain to an officer what happened, they were continuously interrupted by the officer with inappropriate comments. The complainant further states that the officer filed a report on what they thought happened instead of what their family member said. The complainant states that the Special Victims Unit would not investigate the incident based on what the officer said in their report.",2022-02-21,08:00 PM,6568
22-0083,2022-03-03 05:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on unspecified dates and times, while in the confines of the 15th District, a police dispatcher has misused city equipment to find people and harm them. The complainant states that they were attacked by the dispatcher multiple times. The complainant also states that the dispatcher has told them that they knows where they live, because they looked it up while at work. The complainant also states that the dispatcher has parked on their block and threatened them and their family members.",,,6569
22-0084,2022-03-04 05:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-22, while in the confines of the 24th District, their vehicle was stolen and on 2-13-22, they reported it to police. On 2-18-22, the complainant¿s vehicle was recovered by police but they were never notified. The complainant states that their vehicle was towed to a recovery lot and they had to pay $400.00 to get it out of the lot.",2022-02-11,,6570
22-0085,2022-03-03 05:00:00+00,1200,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-24-22 at 7:00 AM, while in the confines of the 12th District, SWAT officers knocked on their door to serve a warrant. As the complainant¿s family member walked down the steps to open the door, officers knocked the door in and entered the home. The complainant and their family members were detained inside of the home while officers went through the house. The complainant states that the officers were rude and disrespectful. When the complainant asked a supervisor for their name and badge number, they refused.",2022-02-24,07:00 AM,6571
22-0086,2022-03-04 05:00:00+00,2400,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-28-22 at 5:49 PM, while in the 24th District, they were stopped by police, when they ran a red light. The complainant states that when the officer approached their vehicle, the officer was immediately hostile, rude, demeaning and extremely rude to them. The complainant attempted to explain that their infant was crying and needed a diaper change, but the officer said, ¿So you ran a red light with kids in the car."" The complainant states that they handed the officer their license and when they explained that their insurance card was on the phone, the officer became enraged, berating them for not having their insurance card on paper for them to scan. The complainant states that they felt that the officer verbally attacked them and traumatized their children.",2022-02-28,05:49 PM,6572
22-0243,2022-06-08 04:00:00+00,,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 5-27-22 at 1:40 PM, while in the confines of another jurisdiction, they were threatened by an unknown off-duty officer. They noticed the officer driving erratically. When the complainant honked their horn, the officer jumped out of their vehicle, said, ¿f*ck you¿ multiple times and challenged them to fight. The complainant told them that they were not a very good example for the Philadelphia Police Department, since they were wearing a Philadelphia Police Department shirt and had a firearm exposed. When the complainant wrote the officer¿s license plate number down, the officer yelled more expletives, including some that could be considered racist.",2022-05-27,01:40 PM,6729
22-0244,2022-06-09 04:00:00+00,0300,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-4-22 at 7:00 PM, while in the confines of the 3rd District, they were treated unprofessionally by a detective assigned to South Detective Division. They went to watch a baseball game with their family. The complainant, who is in law enforcement, had their firearm on their person. The security officers told the complainant that they could lock their firearm up with the police at the park. The complainant states that the detective told them that if they did not come back by the 8th inning, they would take their firearm with them and they would have to call the chief to get it back. They began to argue because the complainant wanted to watch the entire game. The detective told them that they could just leave and call the manager to get a refund.",2022-06-04,07:00 PM,6730
22-0245,2022-06-09 04:00:00+00,1900,FALSIFICATION,"According to the complainant, on 1-24-22, while in the confines of the 19th District, their ex-spouse¿s family member, an off-duty officer, threatened to have them arrested. On 1-25-22, the complainant called 911 to serve a Protection from Abuse Order on their ex-spouse. While waiting for police near their ex-spouse¿s home, the off-duty officer approached their vehicle and said that they are going to make sure they get locked up. The complainant states that when they got into a verbal altercation, the complainant left. Moments later, the complainant arrived back to the location so that police can serve their order. Upon the complainants arrival, an officer told them to get out of their vehicle, placed them in handcuffs and searched their vehicle. A supervisor arrived on location and confirmed that the complainant was the one who called 911. The complainant was released. The complainant states that the off-duty officer made a false statement to police, alleging that they threatened them with a firearm. As a result, a warrant was issued for the complainant¿s arrest and their home was searched for a firearm. The complainant states that they do not own a firearm and was incarcerated for over 30 days due to the false statement provided by the off-duty officer.",2022-01-24,,6731
